"","cod_delito","entidad","FAC_DEL"
"1",7,2,2
"2",8,2,2
"3",1,2,2
"4",1,2,2
"5",9,2,2
"6",3,2,2
"7",10,2,2
"8",5,2,2
"9",5,2,2
"10",7,2,2
"11",3,2,2
"12",3,2,2
"13",5,2,2
"14",5,2,2
"15",9,2,2
"16",3,2,2
"17",1,2,2
"18",2,2,2
"19",2,2,2
"20",2,2,2
"21",3,2,2
"22",13,2,2
"23",4,2,2
"24",2,2,2
"25",3,2,2
"26",3,2,2
"27",7,2,2
"28",5,2,2
"29",8,2,2
"30",1,2,2
"31",10,2,2
"32",1,2,2
"33",2,2,2
"34",9,2,2
"35",5,2,2
"36",2,2,2
"37",2,2,2
"38",2,2,2
"39",7,2,2
"40",2,2,2
"41",3,2,2
"42",9,2,2
"43",3,2,2
"44",1,2,2
"45",3,2,2
"46",3,2,2
"47",7,2,2
"48",4,2,2
"49",5,2,2
"50",3,2,2
"51",5,2,2
"52",3,2,2
"53",6,2,2
"54",4,2,2
"55",8,2,2
"56",10,2,2
"57",3,2,2
"58",9,2,2
"59",2,2,2
"60",2,2,2
"61",4,2,2
"62",2,2,2
"63",11,2,2
"64",5,2,2
"65",9,2,2
"66",3,2,2
"67",4,2,2
"68",7,2,2
"69",1,2,2
"70",3,2,2
"71",1,2,2
"72",2,2,2
"73",2,2,2
"74",2,2,2
"75",1,2,2
"76",7,2,2
"77",5,2,2
"78",2,2,2
"79",3,2,2
"80",3,2,2
"81",3,2,2
"82",5,2,2
"83",4,2,2
"84",4,2,2
"85",2,2,2
"86",8,2,2
"87",3,2,2
"88",1,2,2
"89",3,2,2
"90",6,2,2
"91",2,2,2
"92",9,2,2
"93",5,2,2
"94",3,2,2
"95",8,2,2
"96",9,2,2
"97",7,2,2
"98",4,2,2
"99",4,2,2
"100",7,2,2
"101",4,2,2
"102",3,2,2
"103",10,2,2
"104",4,2,2
"105",7,2,2
"106",7,2,2
"107",7,2,2
"108",3,2,2
"109",4,2,2
"110",2,2,2
"111",3,2,2
"112",7,2,2
"113",3,2,2
"114",2,2,2
"115",1,2,2
"116",3,2,2
"117",4,2,2
"118",3,2,2
"119",7,2,2
"120",13,2,2
"121",4,2,2
"122",9,2,2
"123",10,2,2
"124",5,2,2
"125",1,2,2
"126",8,2,2
"127",1,2,2
"128",7,2,2
"129",1,2,2
"130",5,2,2
"131",1,2,2
"132",7,2,2
"133",1,2,2
"134",4,2,2
"135",10,2,2
"136",2,2,2
"137",3,2,2
"138",1,2,2
"139",3,2,2
"140",2,2,2
"141",7,2,2
"142",2,2,2
"143",9,2,2
"144",3,2,2
"145",2,2,2
"146",9,2,2
"147",7,2,2
"148",10,2,2
"149",6,2,2
"150",5,2,2
"151",7,2,2
"152",8,2,2
"153",1,2,2
