"","cod_delito","entidad","FAC_DEL"
"1",4,1,1
"2",3,1,1
"3",13,1,1
"4",6,1,1
"5",2,1,1
"6",2,1,1
"7",2,1,1
"8",9,1,1
"9",2,1,1
"10",8,1,1
"11",2,1,1
"12",3,1,1
"13",4,1,1
"14",8,1,1
"15",3,1,1
"16",9,1,1
"17",4,1,1
"18",5,1,1
"19",9,1,1
"20",3,1,1
"21",8,1,1
"22",3,1,1
"23",4,1,1
"24",2,1,1
"25",1,1,1
"26",12,1,1
"27",3,1,1
"28",13,1,1
"29",1,1,1
"30",5,1,1
"31",3,1,1
"32",5,1,1
"33",8,1,1
"34",9,1,1
"35",7,1,1
"36",4,1,1
"37",2,1,1
"38",8,1,1
"39",2,1,1
"40",5,1,1
"41",2,1,1
"42",3,1,1
"43",3,1,1
"44",10,1,1
"45",7,1,1
"46",9,1,1
"47",3,1,1
"48",3,1,1
"49",4,1,1
"50",2,1,1
"51",13,1,1
"52",2,1,1
"53",7,1,1
"54",2,1,1
"55",2,1,1
"56",5,1,1
"57",5,1,1
"58",4,1,1
"59",4,1,1
"60",2,1,1
"61",8,1,1
"62",7,1,1
"63",13,1,1
"64",6,1,1
"65",5,1,1
"66",5,1,1
"67",3,1,1
"68",3,1,1
"69",9,1,1
"70",2,1,1
"71",3,1,1
"72",9,1,1
"73",5,1,1
"74",3,1,1
"75",10,1,1
"76",7,1,1
"77",5,1,1
"78",4,1,1
"79",2,1,1
"80",4,1,1
"81",2,1,1
"82",4,1,1
"83",2,1,1
"84",3,1,1
"85",5,1,1
"86",3,1,1
"87",2,1,1
"88",4,1,1
"89",8,1,1
"90",12,1,1
"91",5,1,1
"92",2,1,1
"93",1,1,1
"94",3,1,1
"95",4,1,1
"96",3,1,1
"97",5,1,1
"98",4,1,1
"99",8,1,1
"100",4,1,1
"101",2,1,1
"102",4,1,1
"103",1,1,1
"104",10,1,1
"105",3,1,1
"106",2,1,1
"107",2,1,1
"108",2,1,1
"109",3,1,1
"110",9,1,1
"111",2,1,1
"112",4,1,1
"113",4,1,1
"114",9,1,1
"115",7,1,1
"116",9,1,1
"117",3,1,1
"118",3,1,1
"119",3,1,1
"120",3,1,1
"121",7,1,1
"122",3,1,1
"123",3,1,1
"124",4,1,1
"125",15,1,1
"126",3,1,1
"127",2,1,1
"128",2,1,1
"129",5,1,1
"130",5,1,1
"131",7,1,1
"132",2,1,1
"133",8,1,1
"134",3,1,1
"135",3,1,1
"136",9,1,1
"137",4,1,1
"138",3,1,1
"139",2,1,1
"140",3,1,1
"141",4,1,1
"142",5,1,1
"143",2,1,1
"144",4,1,1
"145",5,1,1
"146",4,1,1
"147",7,1,1
"148",3,1,1
"149",8,1,1
"150",4,1,1
"151",1,1,1
"152",2,1,1
"153",2,1,1
"154",3,1,1
"155",3,1,1
"156",1,1,1
"157",5,1,1
"158",4,1,1
"159",5,1,1
"160",2,1,1
"161",7,1,1
"162",5,1,1
"163",2,1,1
"164",8,1,1
"165",7,1,1
"166",4,1,1
