"entidad","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
1,3961,46702,19250,22604,21772,9781,10363,16398,41624,18044,8484,796,4405,193,NA
2,50696,204044,207657,165234,121998,85449,59629,61714,321338,142155,62107,3640,22112,NA,3867
3,4976,24178,15084,22548,6852,9395,8096,9463,11726,14495,4213,NA,1697,NA,449
4,1278,16535,12835,21715,22770,11801,8180,13515,47618,22828,9077,NA,5237,1506,822
5,13320,69468,84761,55968,81581,16811,20636,36619,99916,53432,17588,5412,13387,NA,2123
6,2905,12542,16462,13352,10739,7513,5821,8580,42689,18208,3870,NA,1257,1065,529
7,2822,33927,45605,77153,125653,34516,13645,39806,143215,83920,23475,NA,14559,3195,1690
8,30322,119408,65161,79202,146276,22621,42907,48532,158621,69660,20631,530,7885,703,2628
9,61968,364854,525899,90490,1429144,70738,258405,148137,631659,203858,77671,19082,126523,NA,114
10,7628,37778,26539,23892,40634,4882,6861,16923,73207,21937,10822,706,4045,999,3222
11,11625,243486,211341,94633,256084,60897,53733,45323,231891,139742,58003,NA,52953,6957,5074
12,9269,29714,36645,51432,141814,81423,20191,35968,265846,74651,25874,2287,14487,3267,13869
13,9629,45148,49891,44102,89333,17545,12071,35623,127704,39752,14245,1814,3270,NA,1792
14,53898,425128,468120,146945,449191,130535,180283,172286,558367,205468,71734,6376,51814,NA,2771
15,186676,590912,911521,319411,4917122,142425,291750,374903,2436631,667727,291903,9578,111977,54469,6902
16,18625,67127,89910,46875,140069,22968,31630,30132,240309,84899,26922,3546,19260,2094,1549
17,10488,37577,62489,40798,153466,8704,29403,19142,95644,56578,16744,768,7688,1044,544
18,3330,17548,23154,17286,17488,14443,11061,13394,86485,22399,5606,NA,682,1254,690
19,25815,166121,123603,90103,296670,28227,78692,75649,202149,105540,26096,4476,21097,1812,4470
20,1203,38459,100380,48416,142385,16243,17559,28665,113276,98133,25742,602,6794,NA,1914
21,12555,167118,329812,84209,287578,27063,69329,77851,314774,119530,33025,2081,49126,3105,1356
22,5365,52299,92606,22453,38965,19680,20983,29113,81774,57179,16064,4814,10862,564,2102
23,2606,33285,39688,47721,52003,28347,22239,24791,72508,51847,9266,358,7619,556,1578
24,4696,68797,122707,43845,132281,26772,21533,32676,194886,102776,28247,1650,31444,2686,4089
25,13028,51631,38173,57649,122181,50230,38335,34007,114422,81528,28075,1868,6457,700,3081
26,10798,128377,104119,72648,52422,72569,36980,37888,48842,83921,28852,488,15168,4774,4365
27,3768,36037,18748,47118,107443,31278,13904,33234,121952,64600,22619,902,5036,1176,716
28,15571,61525,27820,57734,88489,17911,17107,18873,119074,25901,8592,5862,22087,NA,1491
29,3933,19215,39681,21853,22212,9401,7349,13357,59975,39833,7821,352,11823,678,300
30,10828,93619,155825,162521,231203,61253,60930,97512,557213,168992,29909,6937,14278,3535,11320
31,555,19516,46569,28661,25070,55932,16850,32991,86783,50078,13833,392,6201,616,2984
32,7020,35971,38821,22532,17003,16271,4662,11826,91922,42354,10916,504,11008,714,502
