"","cod_delito","entidad","FAC_DEL"
"1",7,1,1
"2",4,1,1
"3",2,1,1
"4",3,1,1
"5",7,1,1
"6",7,1,1
"7",2,1,1
"8",2,1,1
"9",8,1,1
"10",8,1,1
"11",8,1,1
"12",2,1,1
"13",2,1,1
"14",4,1,1
"15",4,1,1
"16",4,1,1
"17",9,1,1
"18",2,1,1
"19",9,1,1
"20",9,1,1
"21",2,1,1
"22",2,1,1
"23",7,1,1
"24",7,1,1
"25",7,1,1
"26",2,1,1
"27",8,1,1
"28",9,1,1
"29",7,1,1
"30",8,1,1
"31",2,1,1
"32",3,1,1
"33",3,1,1
"34",3,1,1
"35",7,1,1
"36",2,1,1
"37",7,1,1
"38",7,1,1
"39",7,1,1
"40",2,1,1
"41",4,1,1
"42",1,1,1
"43",13,1,1
"44",2,1,1
"45",2,1,1
"46",2,1,1
"47",2,1,1
"48",3,1,1
"49",2,1,1
"50",8,1,1
"51",2,1,1
"52",10,1,1
"53",10,1,1
"54",2,1,1
"55",2,1,1
"56",2,1,1
"57",13,1,1
"58",2,1,1
"59",3,1,1
"60",3,1,1
"61",2,1,1
"62",2,1,1
"63",7,1,1
"64",9,6,6
"65",2,1,1
"66",4,1,1
"67",10,1,1
"68",2,1,1
"69",2,1,1
"70",10,1,1
"71",1,1,1
"72",3,1,1
"73",2,1,1
"74",2,1,1
"75",7,1,1
"76",2,1,1
"77",2,1,1
"78",2,1,1
"79",2,1,1
"80",3,1,1
"81",2,1,1
"82",3,1,1
"83",4,1,1
"84",3,1,1
"85",11,1,1
"86",10,1,1
"87",2,1,1
"88",2,1,1
"89",2,1,1
"90",2,1,1
"91",2,1,1
"92",5,1,1
"93",2,1,1
"94",2,1,1
"95",4,1,1
"96",4,1,1
"97",5,1,1
"98",2,1,1
"99",6,1,1
"100",3,1,1
"101",3,1,1
"102",5,1,1
"103",2,1,1
"104",2,1,1
"105",11,1,1
"106",2,1,1
"107",2,1,1
"108",2,1,1
"109",4,1,1
"110",5,1,1
"111",2,1,1
"112",4,1,1
"113",2,1,1
"114",1,1,1
"115",2,1,1
"116",2,1,1
"117",2,1,1
"118",2,11,11
"119",2,1,1
"120",2,1,1
"121",2,1,1
"122",2,1,1
"123",2,1,1
"124",2,1,1
"125",2,1,1
"126",2,1,1
"127",3,1,1
"128",7,1,1
"129",2,1,1
"130",8,1,1
"131",2,1,1
"132",4,1,1
"133",10,1,1
"134",3,1,1
"135",2,1,1
"136",1,1,1
"137",2,1,1
"138",3,1,1
"139",13,1,1
"140",3,1,1
"141",3,1,1
"142",3,1,1
"143",2,1,1
"144",3,1,1
"145",2,1,1
"146",7,1,1
"147",2,1,1
"148",7,1,1
"149",3,1,1
"150",7,1,1
"151",2,1,1
"152",3,1,1
"153",3,1,1
"154",3,1,1
"155",1,1,1
"156",1,1,1
"157",3,1,1
"158",10,1,1
"159",11,1,1
"160",8,1,1
"161",3,1,1
"162",4,1,1
"163",4,1,1
"164",9,1,1
"165",2,1,1
"166",1,1,1
"167",8,1,1
"168",2,1,1
"169",2,1,1
"170",8,1,1
"171",6,1,1
"172",5,1,1
"173",4,1,1
"174",2,1,1
"175",3,1,1
"176",9,1,1
"177",9,1,1
"178",2,1,1
"179",3,32,32
"180",9,1,1
"181",3,32,32
"182",3,32,32
"183",3,32,32
"184",3,32,32
"185",7,1,1
"186",7,1,1
"187",8,1,1
"188",2,1,1
"189",7,1,1
"190",2,1,1
"191",11,1,1
"192",11,1,1
"193",10,1,1
"194",2,1,1
"195",2,1,1
"196",10,1,1
"197",3,1,1
"198",3,1,1
"199",4,1,1
"200",9,1,1
"201",4,1,1
"202",10,1,1
"203",10,1,1
"204",10,1,1
"205",3,1,1
"206",9,1,1
"207",4,1,1
"208",3,1,1
"209",2,1,1
"210",2,1,1
"211",3,1,1
"212",10,1,1
"213",2,1,1
"214",2,1,1
"215",1,1,1
"216",7,1,1
"217",2,1,1
"218",9,1,1
"219",3,1,1
"220",3,1,1
"221",3,1,1
"222",2,1,1
"223",13,1,1
"224",5,1,1
"225",2,1,1
"226",4,1,1
"227",3,1,1
"228",2,1,1
"229",2,1,1
"230",2,1,1
"231",3,1,1
"232",3,1,1
"233",6,1,1
"234",4,1,1
"235",2,1,1
"236",2,1,1
"237",4,1,1
"238",3,1,1
"239",2,1,1
"240",2,1,1
"241",2,1,1
"242",2,1,1
"243",2,1,1
"244",3,1,1
"245",1,1,1
"246",5,1,1
"247",3,1,1
"248",4,1,1
"249",5,1,1
"250",3,1,1
"251",1,1,1
"252",2,1,1
"253",5,1,1
"254",9,1,1
"255",6,1,1
"256",7,1,1
"257",7,1,1
"258",7,1,1
"259",7,1,1
"260",7,1,1
"261",8,1,1
"262",2,1,1
"263",2,1,1
"264",2,1,1
"265",2,1,1
"266",3,1,1
"267",2,1,1
"268",2,1,1
"269",4,1,1
"270",4,1,1
"271",2,1,1
"272",2,1,1
"273",3,1,1
"274",2,1,1
"275",2,1,1
"276",2,1,1
"277",2,1,1
"278",3,1,1
"279",7,1,1
"280",3,1,1
"281",2,1,1
"282",2,1,1
"283",3,1,1
"284",3,1,1
"285",2,1,1
"286",11,1,1
"287",2,1,1
"288",2,1,1
