"entidad","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
1,6970,56802,30953,27806,36253,4914,26686,26866,41555,38263,16483,1349,14757,1473,1005
2,37355,121910,76700,73584,117112,65462,98785,81802,131071,90559,18881,513,31334,429,2169
3,2817,15115,10139,17933,8290,10337,15872,15142,18078,14262,3792,713,6245,1471,1104
4,577,10509,6047,18781,13129,9064,16163,12537,17759,14827,3577,NA,6590,1482,399
5,5912,62570,56454,61343,37872,69188,75790,35256,66193,68639,31321,322,39566,3302,3466
6,3071,15579,10146,14338,12056,3499,14142,14423,26854,22943,3408,240,14628,212,77
7,2493,35959,26368,72811,107582,62898,34147,35435,99561,76812,27446,2517,28956,1072,2297
8,13811,82235,42689,63704,66958,53405,80120,61757,144753,78488,22269,607,28614,1866,4941
9,59749,439680,268618,86864,1017134,40531,426831,290663,383950,262779,114932,7317,229511,8580,8616
10,3438,25925,23836,28180,20993,8541,20625,28318,31386,21550,12724,NA,16612,1340,150
11,20475,143325,92294,101795,238793,36846,126412,76744,247343,120299,66099,5343,108812,3189,581
12,4337,26171,29529,37786,66041,26236,62630,63936,206884,56086,24537,5364,41921,1533,992
13,7198,35286,27304,28889,46560,21864,46702,54489,105810,40331,18133,NA,22640,NA,NA
14,55933,245492,154688,91161,270882,72959,266417,180488,263980,201621,85415,1438,165794,18730,1047
15,111308,374910,235901,183020,2323408,67394,668822,253465,949002,341691,174905,3586,296959,26236,6387
16,12442,47241,52381,42842,60545,10900,57607,52872,169761,60564,27115,2253,59469,2369,2530
17,10788,28641,43450,34151,94961,17399,47340,42745,75904,36202,17492,426,56065,1013,1653
18,1941,11922,15980,22185,13675,3673,19244,17476,55571,24554,6350,1237,7279,831,192
19,10373,123640,81114,77674,197588,125914,160990,133618,208109,125965,45498,NA,295978,5462,4509
20,4572,27262,43127,32613,103537,25597,45359,46240,134519,58504,19891,665,29763,NA,NA
21,21472,163778,172897,90635,427542,59091,159855,140270,302082,154144,50465,2391,101393,5746,1439
22,8720,61493,62539,43345,56238,38754,67253,45574,105913,62295,24661,215,33380,1484,1726
23,3614,36437,22826,53017,68319,9541,67085,29707,57395,45675,15672,935,39281,663,3814
24,8250,55682,55960,41216,97310,48107,49267,46995,116558,40290,10230,1275,54450,2211,2512
25,6408,47024,35617,43992,52873,67528,71182,78593,174444,53939,18697,1925,35886,1608,5011
26,8699,79267,57518,53555,45364,81211,62380,52243,129542,58888,20955,NA,36463,3672,4865
27,3765,24088,14527,41036,95997,123090,52856,38130,109979,58464,16868,NA,21684,1002,3407
28,9034,30211,24854,40484,46153,19617,80299,57225,131479,58358,21091,4889,23531,1097,2060
29,4007,16015,26059,21677,49533,7156,19081,23899,69657,37906,10120,NA,13651,493,NA
30,12282,71143,59387,101455,176490,37299,132937,111635,185541,156264,56404,1864,94606,7034,645
31,861,15881,24334,28770,24957,39029,67681,48526,63864,67792,14131,221,27707,929,6376
32,5958,29193,22187,12841,18743,6747,21437,18653,85297,28037,5463,1592,14932,426,NA
