"","cod_delito","entidad","FAC_DEL"
"1",5,1,1
"2",5,1,1
"3",2,1,1
"4",3,1,1
"5",2,1,1
"6",2,1,1
"7",2,1,1
"8",2,1,1
"9",2,1,1
"10",2,1,1
"11",3,1,1
"12",3,1,1
"13",9,1,1
"14",3,1,1
"15",3,1,1
"16",3,1,1
"17",9,32,32
"18",3,1,1
"19",3,1,1
"20",3,1,1
"21",3,1,1
"22",3,1,1
"23",2,1,1
"24",13,1,1
"25",2,1,1
"26",6,1,1
"27",11,1,1
"28",10,1,1
"29",10,1,1
"30",10,1,1
"31",10,1,1
"32",3,1,1
"33",3,1,1
"34",3,1,1
"35",2,1,1
"36",2,1,1
"37",9,1,1
"38",5,1,1
"39",8,1,1
"40",3,1,1
"41",3,1,1
"42",2,1,1
"43",3,1,1
"44",3,1,1
"45",5,9,9
"46",8,1,1
"47",5,1,1
"48",2,1,1
"49",2,1,1
"50",3,1,1
"51",6,1,1
"52",5,1,1
"53",5,1,1
"54",5,1,1
"55",8,1,1
"56",3,1,1
"57",2,1,1
"58",3,1,1
"59",2,1,1
"60",2,1,1
"61",2,1,1
"62",3,1,1
"63",3,1,1
"64",5,1,1
"65",2,1,1
"66",3,1,1
"67",3,1,1
"68",3,1,1
"69",3,1,1
"70",4,1,1
"71",1,1,1
"72",2,1,1
"73",2,1,1
"74",2,1,1
"75",2,1,1
"76",4,1,1
"77",5,1,1
"78",11,1,1
"79",2,1,1
"80",3,1,1
"81",5,1,1
"82",5,1,1
"83",5,1,1
"84",4,1,1
"85",5,1,1
"86",11,1,1
"87",3,1,1
"88",3,1,1
"89",13,1,1
"90",3,1,1
"91",3,1,1
"92",2,1,1
"93",3,1,1
"94",7,1,1
"95",3,1,1
"96",9,1,1
"97",3,1,1
"98",4,1,1
"99",3,1,1
"100",3,1,1
"101",3,1,1
"102",3,1,1
"103",5,1,1
"104",10,1,1
"105",5,1,1
"106",9,1,1
"107",2,1,1
"108",5,1,1
"109",9,1,1
"110",2,1,1
"111",2,1,1
"112",2,1,1
"113",2,1,1
"114",2,1,1
"115",7,1,1
"116",3,1,1
"117",9,1,1
"118",3,1,1
"119",9,1,1
"120",9,1,1
"121",9,1,1
"122",3,1,1
"123",4,1,1
"124",7,1,1
"125",9,1,1
"126",8,1,1
"127",3,1,1
"128",5,1,1
"129",4,1,1
"130",2,1,1
"131",2,1,1
"132",10,1,1
"133",2,1,1
"134",2,1,1
"135",2,1,1
"136",2,1,1
"137",3,1,1
"138",4,1,1
"139",2,1,1
"140",2,1,1
"141",2,1,1
"142",2,1,1
"143",4,1,1
"144",4,1,1
"145",4,1,1
"146",2,11,11
"147",8,1,1
"148",10,1,1
"149",3,11,11
"150",3,1,1
"151",4,1,1
"152",2,1,1
"153",3,1,1
"154",9,1,1
"155",9,1,1
"156",5,1,1
"157",3,1,1
"158",9,1,1
"159",2,1,1
"160",2,1,1
"161",2,1,1
"162",2,1,1
"163",2,1,1
"164",2,1,1
"165",3,1,1
"166",10,1,1
"167",10,1,1
"168",10,1,1
"169",10,1,1
"170",3,1,1
"171",3,1,1
"172",2,1,1
"173",3,1,1
"174",3,1,1
"175",3,1,1
"176",3,1,1
"177",3,1,1
"178",8,1,1
"179",2,1,1
"180",3,1,1
"181",4,1,1
"182",2,1,1
"183",3,1,1
"184",4,1,1
"185",3,1,1
"186",8,1,1
"187",3,1,1
"188",8,1,1
"189",2,1,1
"190",3,1,1
"191",4,1,1
"192",9,1,1
"193",10,1,1
"194",7,1,1
"195",4,1,1
"196",9,1,1
"197",10,1,1
"198",9,1,1
"199",9,1,1
"200",2,1,1
"201",2,1,1
"202",3,1,1
"203",4,1,1
"204",2,1,1
"205",2,1,1
"206",2,1,1
"207",2,1,1
"208",2,1,1
"209",4,1,1
"210",9,1,1
"211",9,1,1
"212",9,1,1
"213",9,1,1
"214",9,1,1
"215",10,1,1
