"entidad","1","2","3","4","5","6","7","8","9","10","11","13","14","12","15"
1,6947,80661,52145,37391,53236,18935,17633,19224,57692,33392,17655,8799,706,NA,NA
2,62957,148066,104608,167588,134088,91907,81532,64538,187203,103522,33368,13769,1049,3766,1322
3,6904,26259,12957,25313,8695,12520,11586,12027,23797,15321,3774,2007,95,234,1245
4,1378,19625,12886,22739,28959,15179,13645,15997,22933,28714,7221,2894,520,955,232
5,6893,54617,71708,46070,67776,24367,63352,51032,98384,50629,32486,17977,503,3332,NA
6,2462,15000,9247,19717,12680,9327,11648,11380,32138,16746,3598,4325,3139,80,404
7,3673,33089,51347,79901,162008,62338,72423,44227,128804,58911,27202,7297,771,1530,1111
8,16535,93096,59257,79029,99509,49368,47722,47662,181523,66132,26784,27399,4493,741,3803
9,72003,494722,411746,139898,2093482,83795,382797,230976,541336,274545,119858,286181,3955,11600,5720
10,3774,29827,34999,21096,29259,7066,20568,23502,73848,37773,12180,9424,NA,401,272
11,21725,158041,106556,110123,296859,38459,67524,42156,257022,89188,16340,39982,NA,3440,989
12,14155,44179,44701,53694,150482,110893,74920,81409,390720,81644,30366,25187,3350,457,4081
13,5890,60218,44972,33711,71581,9889,21093,29674,94892,51155,26547,31840,1393,NA,2505
14,63411,303673,297899,157321,454334,100553,247052,131866,585681,193272,60036,131995,NA,7418,867
15,147763,468552,447757,322965,3411601,73610,798371,213168,1443113,641196,191425,219569,9493,31469,13667
16,18278,91584,70015,61521,116394,25354,50232,40464,167420,90423,26555,21527,351,257,793
17,11741,50992,69353,41635,194199,20508,44340,28582,170705,59007,20487,26797,2107,2398,1053
18,2937,21479,20967,23901,23282,8050,14279,20259,100051,42331,13329,21610,1014,NA,759
19,16189,206412,100310,110877,269423,44988,169565,64699,154331,89718,32764,43145,5449,4576,2711
20,8308,42058,48018,44828,151163,42723,28444,41484,122956,77202,22646,16388,2508,NA,3277
21,29614,161750,224044,150643,517554,46015,102596,93412,368968,144711,70282,83401,11293,2269,2974
22,13473,64499,90086,34213,67475,23188,66384,31030,116656,38464,17239,27479,1329,276,394
23,3143,33140,34959,53270,91357,28295,38300,31727,44272,38049,17489,9093,2150,NA,NA
24,3311,66580,52590,33287,129115,24009,40844,27060,195275,41205,9262,24455,3381,1317,NA
25,12979,48186,36264,54557,116078,48461,37839,40670,143618,68770,23293,7368,1865,NA,1571
26,17719,154859,105806,113576,70941,170435,52490,55068,75858,70662,20427,20434,NA,NA,3492
27,6767,41186,20205,56589,208660,188133,28728,35698,75000,63724,17918,15675,168,3564,798
28,15819,41111,28608,70887,79599,9845,47164,17154,210114,52687,20727,18731,2118,4819,5957
29,4104,24196,29844,19797,48859,9266,23985,25238,87931,33938,17741,9600,594,190,NA
30,21362,71540,73269,99500,228118,67637,95910,68349,204023,94504,35265,48755,NA,NA,1410
31,707,22893,34707,39272,40986,42824,40473,45355,58793,47704,16801,12244,NA,NA,3591
32,3167,33598,33394,18090,29257,9492,11009,24046,174176,39660,13367,7201,1078,NA,1059
