"","cod_delito","entidad","FAC_DEL"
"1",8,1,1
"2",8,1,1
"3",2,1,1
"4",2,1,1
"5",2,1,1
"6",4,1,1
"7",2,1,1
"8",2,1,1
"9",2,1,1
"10",2,1,1
"11",10,1,1
"12",3,1,1
"13",9,1,1
"14",3,1,1
"15",2,1,1
"16",5,1,1
"17",2,1,1
"18",3,1,1
"19",2,1,1
"20",2,1,1
"21",3,1,1
"22",4,1,1
"23",9,1,1
"24",3,1,1
"25",2,1,1
"26",4,1,1
"27",2,1,1
"28",2,1,1
"29",2,1,1
"30",10,1,1
"31",2,1,1
"32",5,1,1
"33",12,1,1
"34",3,1,1
"35",5,1,1
"36",2,1,1
"37",4,1,1
"38",2,1,1
"39",3,1,1
"40",6,1,1
"41",2,1,1
"42",10,1,1
"43",10,1,1
"44",8,1,1
"45",2,1,1
"46",9,1,1
"47",2,1,1
"48",2,1,1
"49",10,1,1
"50",3,1,1
"51",2,1,1
"52",10,1,1
"53",9,1,1
"54",2,1,1
"55",2,1,1
"56",1,1,1
"57",3,1,1
"58",3,1,1
"59",2,1,1
"60",3,1,1
"61",4,1,1
"62",2,1,1
"63",3,1,1
"64",2,1,1
"65",2,1,1
"66",4,1,1
"67",2,1,1
"68",4,1,1
"69",6,1,1
"70",2,1,1
"71",4,1,1
"72",4,1,1
"73",5,1,1
"74",2,1,1
"75",3,1,1
"76",4,1,1
"77",2,1,1
"78",2,1,1
"79",2,1,1
"80",2,1,1
"81",7,1,1
"82",11,1,1
"83",9,1,1
"84",3,1,1
"85",4,1,1
"86",1,1,1
"87",3,1,1
"88",2,1,1
"89",2,1,1
"90",2,1,1
"91",4,1,1
"92",9,1,1
"93",7,1,1
"94",2,1,1
"95",2,1,1
"96",3,1,1
"97",11,1,1
"98",2,1,1
"99",2,1,1
"100",4,1,1
"101",9,1,1
"102",2,1,1
"103",2,1,1
"104",2,1,1
"105",3,1,1
"106",2,1,1
"107",8,1,1
"108",2,1,1
"109",4,1,1
