Entidad,delitos,cifra_negra,anio,zona
Veracruz de Ignacio de la Llave,1036373,956433,2017,Oriente
Yucatán,371643,336098,2017,Sureste
Zacatecas,365200,345099,2017,Centronorte
Aguascalientes,356569,330485,2016,Centronorte
Baja California,1251729,1153806,2016,Noroeste
Baja California Sur,167996,145799,2016,Noroeste
Campeche,184176,166933,2016,Sureste
Coahuila de Zaragoza,514187,472492,2016,Noreste
Colima,153007,139597,2016,Oeste
Chiapas,654852,617421,2016,Suroeste
Chihuahua,889007,817529,2016,Noroeste
Ciudad de México,3445878,3233657,2016,Centrosur
Durango,274428,253107,2016,Noroeste
Guanajuato,1287997,1181162,2016,Centronorte
Guerrero,1083057,1064424,2016,Suroeste
Hidalgo,461922,423139,2016,Oriente
Jalisco,2311287,2153060,2016,Oeste
Estado de México,7492242,7086856,2016,Centrosur
Michoacán de Ocampo,813928,763066,2016,Oeste
Morelos,595419,560684,2016,Centrosur
Nayarit,223790,205199,2016,Oeste
Nuevo León,1189818,1115205,2016,Noreste
Oaxaca,746427,705985,2016,Suroeste
Puebla,1300496,1234387,2016,Oriente
Querétaro,373365,343019,2016,Centronorte
Quintana Roo,369766,333010,2016,Sureste
San Luis Potosí,480577,446626,2016,Centronorte
Sinaloa,486489,451985,2016,Noroeste
Sonora,866697,816239,2016,Noroeste
Tabasco,515001,474802,2016,Sureste
Tamaulipas,575032,548351,2016,Noreste
Tlaxcala,239971,226443,2016,Oriente
Veracruz de Ignacio de la Llave,1115381,1034972,2016,Oriente
Yucatán,358206,327124,2016,Sureste
Zacatecas,252284,233236,2016,Centronorte
Aguascalientes,299182,275285,2015,Centronorte
Baja California,792047,708890,2015,Noroeste
Baja California Sur,138048,120997,2015,Noroeste
Campeche,137739,124552,2015,Sureste
Coahuila de Zaragoza,486299,443440,2015,Noreste
Colima,136802,122970,2015,Oeste
Chiapas,535317,497664,2015,Suroeste
Chihuahua,791199,715529,2015,Noroeste
Ciudad de México,3587509,3398127,2015,Centrosur
Durango,298019,268585,2015,Noroeste
Guanajuato,1279604,1199283,2015,Centronorte
Guerrero,1224853,1194044,2015,Suroeste
Hidalgo,408703,366456,2015,Oriente
Jalisco,2648557,2496102,2015,Oeste
Estado de México,6648721,6345908,2015,Centrosur
Michoacán de Ocampo,743017,690005,2015,Oeste
Morelos,583699,540378,2015,Centrosur
Nayarit,177447,158410,2015,Oeste
Nuevo León,938521,870713,2015,Noreste
Oaxaca,662866,625534,2015,Suroeste
Puebla,1130036,1042560,2015,Oriente
Querétaro,423237,381349,2015,Centronorte
Quintana Roo,390175,345339,2015,Sureste
San Luis Potosí,471819,441470,2015,Centronorte
Sinaloa,461923,426295,2015,Noroeste
Sonora,809269,752541,2015,Noroeste
Tabasco,478361,447903,2015,Sureste
Tamaulipas,522700,494729,2015,Noreste
Tlaxcala,261953,246783,2015,Oriente
Veracruz de Ignacio de la Llave,1227175,1163431,2015,Oriente
Yucatán,380019,344815,2015,Sureste
Zacatecas,216843,199899,2015,Centronorte
Aguascalientes,326192,302870,2014,Centronorte
Baja California,1316593,1189307,2014,Noroeste
Baja California Sur,178150,157402,2014,Noroeste
Campeche,178664,159393,2014,Sureste
Coahuila de Zaragoza,353865,317264,2014,Noreste
Colima,151365,136662,2014,Oeste
Chiapas,607620,565509,2014,Suroeste
Chihuahua,595928,540201,2014,Noroeste
Ciudad de México,4099903,3754286,2014,Centrosur
Durango,344639,324118,2014,Noroeste
Guanajuato,1500344,1401766,2014,Centronorte
Guerrero,947098,907168,2014,Suroeste
Hidalgo,447431,390023,2014,Oriente
Jalisco,2266586,2148519,2014,Oeste
Estado de México,9575153,8966133,2014,Centrosur
Michoacán de Ocampo,794353,743227,2014,Oeste
Morelos,575071,533200,2014,Centrosur
Nayarit,268559,249779,2014,Oeste
Nuevo León,1010888,938899,2014,Noreste
Oaxaca,752022,701658,2014,Suroeste
Puebla,1289154,1201856,2014,Oriente
Querétaro,421614,379941,2014,Centronorte
Quintana Roo,427898,389799,2014,Sureste
San Luis Potosí,734335,708316,2014,Centronorte
Sinaloa,582957,537883,2014,Noroeste
Sonora,520574,457824,2014,Noroeste
Tabasco,459956,416808,2014,Sureste
Tamaulipas,803651,738552,2014,Noreste
Tlaxcala,281278,258666,2014,Oriente
Veracruz de Ignacio de la Llave,1140080,1044496,2014,Oriente
Yucatán,453799,429482,2014,Sureste
Zacatecas,298312,282653,2014,Centronorte
Aguascalientes,205127,187012,2013,Centronorte
Baja California,1303983,1171728,2013,Noroeste
Baja California Sur,118088,98672,2013,Noroeste
Campeche,182882,168281,2013,Sureste
Coahuila de Zaragoza,486261,445060,2013,Noreste
Colima,129070,110567,2013,Oeste
Chiapas,597576,548475,2013,Suroeste
Chihuahua,749926,662971,2013,Noroeste
Ciudad de México,3482643,3247776,2013,Centrosur
Durango,253536,229661,2013,Noroeste
Guanajuato,1260401,1190503,2013,Centronorte
Guerrero,770092,744441,2013,Suroeste
Hidalgo,442028,413102,2013,Oriente
Jalisco,2454796,2290724,2013,Oeste
Estado de México,10402386,9987771,2013,Centrosur
Michoacán de Ocampo,736005,691667,2013,Oeste
Morelos,478588,438645,2013,Centrosur
Nayarit,211666,193691,2013,Oeste
Nuevo León,1126917,1051432,2013,Noreste
Oaxaca,539391,511400,2013,Suroeste
Puebla,1248700,1177661,2013,Oriente
Querétaro,362217,334417,2013,Centronorte
Quintana Roo,354724,318950,2013,Sureste
San Luis Potosí,696378,654990,2013,Centronorte
Sinaloa,603192,556182,2013,Noroeste
Sonora,598092,532489,2013,Noroeste
Tabasco,489783,451201,2013,Sureste
Tamaulipas,460217,438035,2013,Noreste
Tlaxcala,218102,196994,2013,Oriente
Veracruz de Ignacio de la Llave,1510050,1432347,2013,Oriente
Yucatán,340462,304908,2013,Sureste
Zacatecas,273205,254181,2013,Centronorte
Aguascalientes,267844,249680,2012,Centronorte
Baja California,894227,758102,2012,Noroeste
Baja California Sur,153668,129875,2012,Noroeste
Campeche,176351,150174,2012,Sureste
Coahuila de Zaragoza,349248,319270,2012,Noreste
Colima,122381,102221,2012,Oeste
Chiapas,400710,362327,2012,Suroeste
Chihuahua,897095,766483,2012,Noroeste
Ciudad de México,3278700,3016815,2012,Centrosur
Durango,310514,279274,2012,Noroeste
Guanajuato,1287230,1214024,2012,Centronorte
Guerrero,722388,690049,2012,Suroeste
Hidalgo,402851,375033,2012,Oriente
Jalisco,2560387,2400692,2012,Oeste
Estado de México,6210626,5803161,2012,Centrosur
Michoacán de Ocampo,709036,666535,2012,Oeste
Morelos,446610,415380,2012,Centrosur
Nayarit,200410,180440,2012,Oeste
Nuevo León,1291111,1203440,2012,Noreste
Oaxaca,457197,421894,2012,Suroeste
Puebla,1057146,977463,2012,Oriente
Querétaro,344390,305969,2012,Centronorte
Quintana Roo,406707,370793,2012,Sureste
San Luis Potosí,613318,570755,2012,Centronorte
Sinaloa,664359,617993,2012,Noroeste
Sonora,651910,597287,2012,Noroeste
Tabasco,369895,324638,2012,Sureste
Tamaulipas,593441,546298,2012,Noreste
Tlaxcala,147810,134390,2012,Oriente
